Nº de abonados;Sexo;Edad;Tipo de abono;Centro deportivo;Mes
1;MUJER;17;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-25
1;MUJER;23;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-25
1;MUJER;38;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-25
1;MUJER;49;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-25
1;MUJER;51;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-25
2;MUJER;52;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-25
2;MUJER;53;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-25
1;MUJER;54;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-25
1;MUJER;60;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-25
1;MUJER;63;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-25
1;HOMBRE;57;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-25
1;HOMBRE;58;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-25
2;MUJER;20;ADM COMPLETO;Alfredo Goyeneche;ene-25
1;MUJER;21;ADM COMPLETO;Alfredo Goyeneche;ene-25
1;MUJER;23;ADM COMPLETO;Alfredo Goyeneche;ene-25
1;MUJER;37;ADM COMPLETO;Alfredo Goyeneche;ene-25
1;MUJER;45;ADM COMPLETO;Alfredo Goyeneche;ene-25
1;MUJER;46;ADM COMPLETO;Alfredo Goyeneche;ene-25
2;MUJER;54;ADM COMPLETO;Alfredo Goyeneche;ene-25
1;MUJER;56;ADM COMPLETO;Alfredo Goyeneche;ene-25
3;MUJER;58;ADM COMPLETO;Alfredo Goyeneche;ene-25
2;MUJER;59;ADM COMPLETO;Alfredo Goyeneche;ene-25
1;MUJER;60;ADM COMPLETO;Alfredo Goyeneche;ene-25
1;MUJER;67;ADM COMPLETO;Alfredo Goyeneche;ene-25
2;MUJER;69;ADM COMPLETO;Alfredo Goyeneche;ene-25
1;MUJER;72;ADM COMPLETO;Alfredo Goyeneche;ene-25
1;MUJER;77;ADM COMPLETO;Alfredo Goyeneche;ene-25
2;MUJER;79;ADM COMPLETO;Alfredo Goyeneche;ene-25
1;MUJER;85;ADM COMPLETO;Alfredo Goyeneche;ene-25
1;HOMBRE;54;ADM COMPLETO;Alfredo Goyeneche;ene-25
1;HOMBRE;56;ADM COMPLETO;Alfredo Goyeneche;ene-25
1;HOMBRE;60;ADM COMPLETO;Alfredo Goyeneche;ene-25
2;HOMBRE;64;ADM COMPLETO;Alfredo Goyeneche;ene-25
1;HOMBRE;65;ADM COMPLETO;Alfredo Goyeneche;ene-25
1;HOMBRE;67;ADM COMPLETO;Alfredo Goyeneche;ene-25
2;HOMBRE;69;ADM COMPLETO;Alfredo Goyeneche;ene-25
2;HOMBRE;70;ADM COMPLETO;Alfredo Goyeneche;ene-25
1;HOMBRE;71;ADM COMPLETO;Alfredo Goyeneche;ene-25
2;HOMBRE;78;ADM COMPLETO;Alfredo Goyeneche;ene-25
1;HOMBRE;79;ADM COMPLETO;Alfredo Goyeneche;ene-25
2;MUJER;20;ADM FAMILIAR;Alfredo Goyeneche;ene-25
2;MUJER;22;ADM FAMILIAR;Alfredo Goyeneche;ene-25
1;MUJER;23;ADM FAMILIAR;Alfredo Goyeneche;ene-25
1;MUJER;27;ADM FAMILIAR;Alfredo Goyeneche;ene-25
1;MUJER;48;ADM FAMILIAR;Alfredo Goyeneche;ene-25
1;MUJER;56;ADM FAMILIAR;Alfredo Goyeneche;ene-25
1;MUJER;59;ADM FAMILIAR;Alfredo Goyeneche;ene-25
1;HOMBRE;17;ADM FAMILIAR;Alfredo Goyeneche;ene-25
1;HOMBRE;18;ADM FAMILIAR;Alfredo Goyeneche;ene-25
1;HOMBRE;19;ADM FAMILIAR;Alfredo Goyeneche;ene-25
1;HOMBRE;22;ADM FAMILIAR;Alfredo Goyeneche;ene-25
1;HOMBRE;23;ADM FAMILIAR;Alfredo Goyeneche;ene-25
1;HOMBRE;25;ADM FAMILIAR;Alfredo Goyeneche;ene-25
1;HOMBRE;28;ADM FAMILIAR;Alfredo Goyeneche;ene-25
1;HOMBRE;49;ADM FAMILIAR;Alfredo Goyeneche;ene-25
1;HOMBRE;58;ADM FAMILIAR;Alfredo Goyeneche;ene-25
1;HOMBRE;62;ADM FAMILIAR;Alfredo Goyeneche;ene-25
1;HOMBRE;16;ADM FIN DE SEMANA;Alfredo Goyeneche;ene-25
1;HOMBRE;55;ADM FIN DE SEMANA;Alfredo Goyeneche;ene-25
1;MUJER;39;ADM REDUCIDO;Alfredo Goyeneche;ene-25
1;MUJER;45;ADM REDUCIDO;Alfredo Goyeneche;ene-25
1;MUJER;46;ADM REDUCIDO;Alfredo Goyeneche;ene-25
1;MUJER;50;ADM REDUCIDO;Alfredo Goyeneche;ene-25
2;MUJER;51;ADM REDUCIDO;Alfredo Goyeneche;ene-25
2;MUJER;53;ADM REDUCIDO;Alfredo Goyeneche;ene-25
1;MUJER;54;ADM REDUCIDO;Alfredo Goyeneche;ene-25
1;MUJER;57;ADM REDUCIDO;Alfredo Goyeneche;ene-25
2;MUJER;58;ADM REDUCIDO;Alfredo Goyeneche;ene-25
1;MUJER;60;ADM REDUCIDO;Alfredo Goyeneche;ene-25
1;MUJER;62;ADM REDUCIDO;Alfredo Goyeneche;ene-25
4;MUJER;63;ADM REDUCIDO;Alfredo Goyeneche;ene-25
